,Version,Country,Sector,Indicator,Unit,NDC Unconditional_emissions,NDC Unconditional_year,2030_NDC Unconditional,NDC Conditional_emissions,NDC Conditional_year,2030_NDC Conditional,Current Policy_emissions,Current Policy_year,2030_Current Policy,MRI_year,MRI_emissions,2019_emissions,NDC Unconditional_annualised_geometric_ambition,NDC Unconditional_total_ambition,NDC Conditional_annualised_geometric_ambition,NDC Conditional_total_ambition,Current Policy_annualised_geometric_ambition,Current Policy_total_ambition
0,112024,ARE,"Economy-wide, excluding LULUCF",Emissions (absolute),MtCO2e (GWP-AR4),185.15,2030.0,185.15,,,,250.47000000000003,2035,236.20499999999998,2022,215.72,199.74,0.016704032055687268,14.590000000000003,,,-0.013420667264323782,-36.464999999999975
14,92024,ARG,"Economy-wide, excluding LULUCF",Emissions (absolute),MtCO2e (GWP-AR4),350.93,2030.0,350.93,,,,438.46,2035,405.04,2022,352.84,335.97,0.0006750552034731072,-14.95999999999998,,,-0.021153249200983826,-69.07
28,92025,AUS,"Economy-wide, excluding LULUCF",Emissions (absolute),MtCO2e (GWP-AR5),268.895,2035.0,412.41,,,,370.245,2035,430.35,2024,520.22,557.28,0.03648087365868502,144.86999999999995,,,0.023296020819429275,126.92999999999995
42,82024,BRA,"Economy-wide, excluding LULUCF",Emissions (absolute),MtCO2e (GWP-AR4),883.87,2030.0,883.87,,,,1145.725,2035,1171.0500000000002,2022,1170.45,1112.17,0.027754657341831912,228.30000000000007,,,0.0016093187910293238,-58.88000000000011
56,72023,BTN,"Economy-wide, excluding LULUCF",Emissions (absolute),MtCO2e (GWP-AR4),3.075,2030.0,3.075,1.865,2030.0,1.865,2.925,2030,2.925,2022,2.1,2.56,-0.0750534145847962,-0.5150000000000001,0.01334761287017705,0.6950000000000001,-0.06046846575105236,-0.36499999999999977
74,112025,CAN,"Economy-wide, excluding LULUCF",Emissions (absolute),MtCO2e (GWP-AR5),454.17999999999995,2030.0,454.17999999999995,,,,626.4,2035,643.9,2023,694.0,747.36,0.04331346971901073,293.18000000000006,,,0.007775869844654171,103.46000000000004
88,122024,CHE,"Economy-wide, excluding LULUCF",Emissions (absolute),MtCO2e (GWP-AR4),27.009999999999998,2030.0,27.009999999999998,,,,16.28,2035,28.12,2022,41.41,46.31,0.03800835454442586,19.300000000000004,,,0.037156821637426285,18.19
104,92025,CHL,"Economy-wide, excluding LULUCF",Emissions (absolute),MtCO2e (GWP-AR5),90.0,2035.0,95.0,,,,101.16499999999999,2035,105.025,2023,109.86,112.78,0.013943943531003367,17.78,,,0.006367701488723343,7.7549999999999955
118,92025,CHN,"Economy-wide, excluding LULUCF",Emissions (absolute),MtCO2e (GWP-AR5),14154.08,2035.0,14841.84,,,,13229.97,2035,14961.32,2023,15008.1,13702.3,0.0046226366994193135,-1139.5400000000009,,,0.009374404717897411,-1259.0200000000004
132,102025,COL,"Economy-wide, excluding LULUCF",Emissions (absolute),MtCO2e (GWP-AR5),139.65,2035.0,151.09,,,,205.215,2035,206.91,2023,198.55,183.82,0.02188474768428006,32.72999999999999,,,-0.002841349315214403,-23.090000000000003
