,iso,entity_type,climactor_id,baseline_value,baseline_year,inv_year,target_year,target_value,target_record,GDAM_id,target_year_emission,annualised_ambition_from_baseline,annualised_ambition,2019_emissions_for_total_ambition,2030_emissions,absolute_ambition
6,ESP,City,00752000db04c515,11423.0,2005,2014.0,2030,40.0,00752000db04c515_2030,ESP.09.08.08222,6853.8,0.01354986801622915,0.012224537708865224,9436.959046248401,6853.8,2583.159046248401
7,ITA,City,0083ef4ed71b869e,7739.785,2011,2011.0,2030,40.0,0083ef4ed71b869e_2030,ITA.19.86.003,4643.871,0.01786680031720378,0.017866844813300364,6700.2658226207695,4643.871,2056.3948226207694
10,BEL,City,00887dae5af7b824,48759.2,2011,2020.0,2030,40.0,00887dae5af7b824_2030,BEL.2.1.3.22_1,29255.519999999997,0.01786680031720378,0.030746560308512416,42210.42332549685,29255.519999999997,12954.903325496853
13,ITA,City,00b3f9e9c6778784,8965.4,2011,2011.0,2030,40.0,00b3f9e9c6778784_2030,ITA.19.84.007,5379.24,0.01786680031720378,0.01786680031720378,7761.270268634626,5379.24,2382.030268634626
17,ITA,City,00db591fd214bead,7876.169,2011,2011.0,2030,40.0,00db591fd214bead_2030,ITA.19.83.088,4725.7014,0.01786680031720378,0.017866890683227776,6818.332287509951,4725.7014,2092.630887509951
24,ESP,City,0151290a5c763d9c,652.7,2010,2015.0,2030,40.0,0151290a5c763d9c_2030,ESP.10.46.46075,391.62,0.01696592574647271,0.02306830417052219,559.5395103587758,391.62,167.91951035877582
29,BEL,City,0159b1847a5a1cab,1019927.1,2005,2018.0,2030,55.0,0159b1847a5a1cab_2030,BEL.3.3.2.16_1,458967.19499999995,0.01768475295469374,0.030520416949527007,794477.3524534899,458967.19499999995,335510.15745348996
37,ESP,City,019cffe880a889b6,3546.0,2010,2010.0,2030,40.0,019cffe880a889b6_2030,ESP.10.46.46160,2127.6,0.01696592574647271,0.01696592574647271,3039.876059035114,2127.6,912.276059035114
38,ESP,City,01c3e0c36b2a670e,37911.1,2021,2021.0,2030,40.0,01c3e0c36b2a670e_2030,ESP.12.15.15062,22746.66,0.03809344426552097,0.03809344426552097,40973.26914844802,22746.66,18226.609148448017
39,GRC,City,01e1fb47426af0c0,33785.7,2010,2010.0,2030,42.0,01e1fb47426af0c0_2030,GRC.6.2.65.01,19595.706000000002,0.01768744610159878,0.01768744610159878,28772.670382411558,19595.706000000002,9176.964382411556
41,ESP,City,01e99c7c5ee628bd,104140.4,2010,2022.0,2030,40.6,01e99c7c5ee628bd_2030,ESP.12.36.36042,61859.3976,0.01718340462275436,0.043513723824958106,89098.74193950543,61859.3976,27239.344339505435
43,ITA,City,0204fdf53885ed97,2583.5,2010,2010.0,2030,40.0,0204fdf53885ed97_2030,ITA.5.24.089,1550.1,0.01696592574647271,0.01696592574647271,2214.7545963105517,1550.1,664.6545963105518
44,ITA,City,02331a6a8e59ea66,3553.2,2011,2011.0,2030,35.0,02331a6a8e59ea66_2030,ITA.19.83.046,2309.58,0.01592037858405737,0.01592037858405737,3125.0830313613146,2309.58,815.5030313613147
47,USA,City,026671f713ae1081,61893.0,2019,2019.0,2030,62.7,026671f713ae1081_2030,USA.33.61.1600000US3632710,23086.089,0.04524247654914548,0.04524247654914548,61893.0,23086.089,38806.911
103,USA,City,029eabf67f9ddbc6,3659901.0,2021,2021.0,2040,100.0,029eabf67f9ddbc6_2040,USA.5.38.1600000US0667000,0.0,0.03715504444619189,0.03715504444619189,3947813.4203168997,2603014.4129122547,1344799.007404645
113,ITA,City,02e33035caf0772e,11740.0,2011,2011.0,2030,33.0,02e33035caf0772e_2030,ITA.19.86.020,7865.799999999999,0.015122625008065382,0.015122625008065382,10392.62802209405,7865.799999999999,2526.8280220940505
115,BEL,City,02fb7b0f131438eb,26431.0,2006,2018.0,2030,40.0,02fb7b0f131438eb_2030,BEL.3.3.3.23_1,15858.599999999999,0.014118413069381885,0.023435674056226263,21970.27110108407,15858.599999999999,6111.67110108407
118,ESP,City,030a8ebe8100aa23,5242.4,2005,2017.0,2030,40.0,030a8ebe8100aa23_2030,ESP.04.07.07034,3145.4399999999996,0.01354986801622915,0.031211314318903893,4330.938816777782,3145.4399999999996,1185.4988167777828
120,BEL,City,0333eedeaf7d2735,108707.2,2011,2020.0,2030,40.0,0333eedeaf7d2735_2030,BEL.2.2.2.14_1,65224.31999999999,0.017866800317204,0.024639958312375088,94106.8953249734,65224.31999999999,28882.57532497341
122,ITA,City,0342d055df769e0e,100759.9,2012,2019.0,2030,50.0,0342d055df769e0e_2030,ITA.8.39.016,50379.95,0.022781461820273075,0.022998809294177747,85749.10730554142,50379.95,35369.15730554142
130,ESP,City,035f53352a9bf689,28022.0,2017,2021.0,2030,40.0,035f53352a9bf689_2030,ESP.12.15.15013,16813.2,0.026220339705550266,0.02981838361231004,26571.772580678542,16813.2,9758.572580678541
132,ESP,City,038131c124d2436a,24551.0,2017,2017.0,2030,40.0,038131c124d2436a_2030,ESP.12.15.15008,14730.6,0.026220339705550266,0.026220339705550266,23280.407844844725,14730.6,8549.807844844725
136,ESP,City,03ca0527fd83ca6c,972.3,2005,2019.0,2030,40.0,03ca0527fd83ca6c_2030,ESP.09.25.25910,583.38,0.01354986801622915,0.006246906235610528,803.2526727363494,583.38,219.8726727363494
148,ITA,City,041211f342520b16,24770.3,2017,2017.0,2030,40.0,041211f342520b16_2030,ITA.19.81.013,14862.179999999998,0.026220339705550266,0.026220339705550266,23488.35837396266,14862.179999999998,8626.17837396266
149,HUN,City,0416c32234770482,7069.4,2018,2018.0,2030,40.0,0416c32234770482_2030,HUN.21.175.1266,4241.639999999999,0.028436155726361267,0.028436155726361267,6868.373440708061,4241.639999999999,2626.7334407080616
210,USA,City,0481073d1f448c42,1445993.0,2010,2022.0,2050,80.0,0481073d1f448c42_2050,USA.4.72.1600000US0523290,289198.5999999999,0.014803164029113303,0.02058832967524382,1264367.3317588316,1061665.9043616492,202701.42739718244
218,ITA,City,04c901cfc132c692,13589.0,2007,2007.0,2050,50.0,04c901cfc132c692_2050,ITA.16.75.004,6794.5,0.009474018174702836,0.009474018174702836,12122.102702848573,10916.98083834647,1205.1218645021036
223,BEL,City,0516b13d063c8a52,47155.2,2006,2014.0,2030,40.0,0516b13d063c8a52_2030,BEL.3.3.3.17_1,28293.12,0.014118413069381885,0.013963458367678871,39196.87215110436,28293.12,10903.752151104363
227,ESP,City,05225d4626176491,2993.8,2005,2014.0,2030,41.0,05225d4626176491_2030,ESP.09.08.08151,1766.3420000000003,0.013838465436646352,0.013241163502096809,2463.1769221570385,1766.3420000000003,696.8349221570381
229,ESP,City,0522e9f40e0d5c0c,410887.2,2010,2019.0,2030,40.0,0522e9f40e0d5c0c_2030,ESP.10.46.46220,246532.32,0.01696592574647271,0.03955812956838045,352240.8804974542,246532.32,105708.5604974542
230,USA,City,058b10839d95a61a,1146000.0,2018,2020.0,2030,57.0,058b10839d95a61a_2030,USA.5.37.1600000US0613392,492780.00000000006,0.03830506132967315,0.0448810209706898,1102102.3997161945,492780.00000000006,609322.3997161945
238,BEL,City,059234978a5cba53,154226.2,2011,2018.0,2030,40.0,059234978a5cba53_2030,BEL.2.4.1.31_1,92535.72,0.01786680031720378,0.01786680031720378,133512.3051625692,92535.72,40976.58516256919
240,ITA,City,05a00cfafdca65ad,24193.02,2007,2007.0,2030,40.0,05a00cfafdca65ad_2030,ITA.8.35.029,14515.812,0.014736758555106588,0.01473674292402194,20244.98446230601,14515.812,5729.172462306009
247,UKR,City,05cba490d19b3bc0,65657.3,2016,2016.0,2030,43.88,05cba490d19b3bc0_2030,UKR.46.02.009.001,36846.87676,0.02632697807706519,0.02632697807706519,60606.95017547528,36846.87676,23760.07341547528
249,ITA,City,05fba6534f1f1d50,18155.9,2010,2010.0,2030,47.0,05fba6534f1f1d50_2030,ITA.3.17.086,9622.627,0.01944985101624841,0.01944985101624841,15214.09319114447,9622.627,5591.466191144469
251,CHL,City,06080ecb1923a704,1001852.0,2018,2018.0,2030,30.0,06080ecb1923a704_2030,CHL.14.5.27_1,701296.3999999999,0.022104450593615876,0.022104450593615876,979706.6119638848,701296.3999999999,278410.2119638849
255,ESP,City,061be6c3419cf319,15294.1,2008,2015.0,2030,60.0,061be6c3419cf319_2030,ESP.05.38.38025,6117.64,0.021593641165761346,0.03687201478045665,12029.175414868974,6117.64,5911.535414868974
256,ITA,City,062853bbf40b8096,5999.868,2011,2011.0,2030,40.0,062853bbf40b8096_2030,ITA.19.84.015,3599.9208000000003,0.01786680031720378,0.017866922769253613,5194.034524296998,3599.9208000000003,1594.1137242969976
257,ITA,City,064860518c2b3a07,14423.8,2011,2011.0,2030,46.0,064860518c2b3a07_2030,ITA.19.87.058,7788.852,0.020117388198309216,0.020117388198309216,12259.481444518098,7788.852,4470.629444518098
258,ITA,City,0655105dafb45433,3174.3,2011,2011.0,2030,40.3,0655105dafb45433_2030,ITA.19.82.018,1895.0571,0.017981480963305874,0.017981480963305874,2745.398498905702,1895.0571,850.3413989057021
270,ITA,City,066f5d8a1a69e8c7,8619.2,2011,2019.0,2030,75.0,066f5d8a1a69e8c7_2030,ITA.19.84.037,2154.8,0.02989150580428812,0.026842649603097346,6761.287702969603,2154.8,4606.487702969603
273,FRA,City,06b675d7a1446af1,2962157.0,2005,2017.0,2050,50.0,06b675d7a1446af1_2050,FRA.MA.200040715,1481078.5,0.00905105100497905,0.003461914720332304,2608110.650612491,1610322.5308285411,997788.11978395
275,ESP,City,06d5229c6917e8e1,123052.8,2013,2013.0,2030,59.0,06d5229c6917e8e1_2030,ESP.05.38.38031,50451.64800000001,0.027653935298857624,0.027653935298857624,103996.00719981664,50451.64800000001,53544.35919981663
278,ITA,City,06e394b38e2fd3a5,11394.6,2007,2007.0,2030,55.0,06e394b38e2fd3a5_2030,ITA.8.40.011,5127.57,0.01923725894212791,0.01923725894212791,9025.402710549663,5127.57,3897.832710549663
281,ITA,City,06f4eedee954cb53,17741.6,2011,2011.0,2030,40.0,06f4eedee954cb53_2030,ITA.19.82.014,10644.96,0.01786680031720378,0.01786680031720378,15358.751711915595,10644.96,4713.791711915595
285,ITA,City,070d17d369a5b6f1,3563.204,2011,2011.0,2030,40.0,070d17d369a5b6f1_2030,ITA.19.83.087,2137.9224,0.017866800317204,0.017866774543285224,3084.6352941619925,2137.9224,946.7128941619926
289,ITA,City,077114041f5a28bc,52311.0,2010,2010.0,2030,40.0,077114041f5a28bc_2030,ITA.15.63.055,31386.6,0.01696592574647271,0.01696592574647271,44844.60138865929,31386.6,13458.001388659293
291,ESP,City,07959c0b3adc52bd,5601.2,2010,2015.0,2030,40.0,07959c0b3adc52bd_2030,ESP.10.46.46074,3360.72,0.01696592574647271,0.027237191728679777,4801.735415078251,3360.72,1441.0154150782514
292,ITA,City,079ed5f1434f5c87,35779.47,2007,2007.0,2030,40.0,079ed5f1434f5c87_2030,ITA.8.35.032,21467.682,0.014736758555106588,0.014736774408990794,29940.652891600304,21467.682,8472.970891600304
294,ITA,City,07d3e77420c29004,4543.36,2011,2017.0,2030,40.0,07d3e77420c29004_2030,ITA.19.83.080,2726.0159999999996,0.01786680031720378,0.026219892917601406,3933.1479786405307,2726.0159999999996,1207.131978640531
295,ITA,City,07d53d9848572582,15968.7,2008,2008.0,2030,42.51,07d53d9848572582_2030,ITA.8.33.022,9180.40563,0.01623224281883795,0.01623224281883795,13337.916424963749,9180.40563,4157.5107949637495
297,ESP,City,07e8479f390ef3e1,18078.37,2005,2014.0,2030,40.0,07e8479f390ef3e1_2030,ESP.09.08.08017,10847.021999999999,0.01354986801622915,0.01688071494154797,14935.204176917245,10847.021999999999,4088.1821769172457
299,USA,City,08049f066e8f7b64,117708.0,2007,2007.0,2040,100.0,08049f066e8f7b64_2040,USA.34.41.1600000US3728000,0.0,0.021226606315364105,0.021226606315364105,90989.61844064065,71861.37981088333,19128.238629757325
300,ITA,City,0813fc583b323830,7029.0,2011,2011.0,2050,51.0,0813fc583b323830_2050,ITA.19.83.027,3444.21,0.010622941131107178,0.010622941131107178,6453.394743904489,5738.104149144023,715.2905947604659
309,ITA,City,0852e7a62b60d1d5,51572.3,2005,2016.0,2050,40.0,0852e7a62b60d1d5_2050,ITA.8.34.010,30943.38,0.007505184583256774,0.009708550547519845,46410.041334899346,44169.719994095685,2240.321340803661
310,ESP,City,0855b13e4152e735,864.1,2010,2010.0,2030,40.0,0855b13e4152e735_2030,ESP.10.46.46024,518.46,0.01696592574647271,0.01696592574647271,740.7661879899159,518.46,222.30618798991588
315,ESP,City,085ad186dc8def45,114884.4,2005,2017.0,2030,40.0,085ad186dc8def45_2030,ESP.04.07.07057,68930.64,0.01354986801622915,0.025307478460286026,94910.21429158887,68930.64,25979.57429158887
316,ESP,City,0867eec17e64e363,15687.8,2005,2005.0,2030,50.0,0867eec17e64e363_2030,ESP.09.43.43028,7843.9,0.016350839811869022,0.016350839811869022,12454.46856973317,7843.9,4610.56856973317
317,ITA,City,0868eee08be90d9f,55365.21,2011,2011.0,2030,40.0,0868eee08be90d9f_2030,ITA.19.87.005,33219.126,0.017866800317204,0.017866796170302512,47929.18980633454,33219.126,14710.063806334547
318,UKR,City,0872cc9fcd484700,38192.7,2016,2016.0,2030,32.0,0872cc9fcd484700_2030,UKR.18.08.001,25971.035999999996,0.020028775658807785,0.020028775658807785,35943.497294652596,25971.035999999996,9972.4612946526
319,ITA,City,0873f3ad078b20ce,103353.6,2010,2010.0,2030,40.0,0873f3ad078b20ce_2030,ITA.8.99.002,62012.16,0.01696592574647271,0.01696592574647271,88601.84271153175,62012.16,26589.682711531743
320,ITA,City,088db40e875e0682,34708.8,2008,2008.0,2050,53.0,088db40e875e0682_2050,ITA.8.37.036,16313.136,0.010176857815238582,0.010176857815238582,31015.103649525252,27714.488959306986,3300.6146902182663
323,ITA,City,08a72b93ccb48e0b,57340.2,2008,2018.0,2030,45.0,08a72b93ccb48e0b_2030,ITA.8.34.042,31537.11,0.017032682327296378,0.017032682327296378,47466.70283400245,31537.11,15929.592834002447
325,ESP,City,08c769ef6746cf68,1775.3,2005,2005.0,2030,21.0,08c769ef6746cf68_2030,ESP.09.17.17029,1402.487,0.007653957304240899,0.007653957304240899,1594.2474942203205,1402.487,191.76049422032042
327,BEL,City,0909659b694f84b9,53915.3,2011,2011.0,2030,40.0,0909659b694f84b9_2030,BEL.2.1.1.25_1,32349.18,0.01786680031720378,0.01786680031720378,46674.01509297036,32349.18,14324.83509297036
333,ESP,City,0924f4d1bd062294,52512.988,2008,2013.0,2030,40.0,0924f4d1bd062294_2030,ESP.14.30.30033,31507.792799999996,0.015411747273741838,0.014309342875221454,44265.75526777923,31507.792799999996,12757.96246777923
336,GRC,City,0937c4979bdda1ac,387655.4,2012,2014.0,2030,40.0,0937c4979bdda1ac_2030,GRC.5.1.48.07,232593.24000000002,0.018868708060818307,0.023010360560361764,339262.39877742267,232593.24000000002,106669.15877742265
337,ITA,City,09426db4184c8c18,19539.51,2011,2011.0,2030,40.0,09426db4184c8c18_2030,ITA.19.85.015,11723.705999999998,0.01786680031720378,0.01786678856695234,16915.187055422954,11723.705999999998,5191.481055422955
