iso,climactor_id,GDAM_id,baseline_value,baseline_year,target_year,target_value,target_year_emission,annualized_ambition
BEL,0033fb16f68dfeeb,BEL.2.1.1.2_1,2629824.0,2005,2050,100.0,0.0,0.015522512504275054
JPN,004a0d7cb5606eef,JPN.7.1159,1350000.0,2019,2030,10.0,1215000.0,0.008702207766035697
BEL,00732a73f4f159b3,BEL.2.2.1.5_1,43491.3,2011,2030,40.0,26094.780000000002,0.01786680031720378
ESP,00752000db04c515,ESP.09.08.08222,11423.0,2005,2030,40.0,6853.8,0.01354986801622915
ITA,0083ef4ed71b869e,ITA.19.86.003,7739.785,2011,2030,40.0,4643.871,0.01786680031720378
BEL,00887dae5af7b824,BEL.2.1.3.22_1,48759.2,2011,2030,40.0,29255.519999999997,0.01786680031720378
PRT,009e873fc6c97fdc,PRT.10.3_1,192.1,2011,2050,80.0,38.41999999999999,0.015185600026323742
ITA,00b3f9e9c6778784,ITA.19.84.007,8965.4,2011,2030,40.0,5379.24,0.01786680031720378
AUS,00bdd5b474c6b31c,AUS.9.2_1,13170.0,2021,2040,100.0,0.0,0.03715504444619189
ITA,00db591fd214bead,ITA.19.83.088,7876.169,2011,2030,40.0,4725.7014,0.01786680031720378
USA,00df5902d610537f,USA.5.19.1600000US0680000,1611012.0,2005,2035,49.0,821616.12,0.01338127585706883
FRA,0104afec5d7f2c23,FRA.27.021.1.21231,52466197.0,1990,2050,80.0,10493239.399999999,0.009844586655795684
CZE,0123ba1424b3902b,CZE.10,8800000.0,2010,2050,100.0,0.0,0.017479692102686295
ESP,0151290a5c763d9c,ESP.10.46.46075,652.7,2010,2049,50.0,326.35,0.010450773046505324
BEL,0159b1847a5a1cab,BEL.3.3.2.16_1,1019927.1,2005,2050,100.0,0.0,0.015522512504275054
JPN,0170b52602a9dc26,JPN.10.835,3537000.0,2013,2025,30.0,2475900.0,0.022104450593615876
JPN,0187ddb7056a92af,JPN.3.1708,2241516.0,2007,2050,80.0,448303.1999999999,0.013763311512757781
JPN,019071125bd68611,JPN.4.975,2849000.0,2013,2030,26.0,2108260.0,0.013687636695487004
