,GEM Plant ID,GEM Asset name (English),Asset name (other language),Alternative asset name(s),SFI ID,LeadIT Project ID,Coordinates,Coordinate accuracy,GEM wiki page,Municipality,Subnational unit,Country/Area,Cement Capacity (millions metric tonnes per annum),Clinker Capacity (millions metric tonnes per annum),Majority Cement Type,Cement Color,Operating status,Start date,Owner name (English),Owner name (other language),Owner Entity ID,Parent,Parent Entity ID,Plant type,Production type,CCS/CCUS,Alternative Fuel,Clay Calcination,Alternative_to_reduce_GHG,Region,latitude,longitude,geometry,climactor_id,GDAM_id,entity_type,GID_1,which_boundaries,within_target_boundaries,GID,GID_2,GID_3,GID_4,GID_5
0,P100000123427,Afghan Cement Ghori I Cement Plant,(Pashto)د افغان سمنټو غوري I سمنټو فابریکه,,,,"35.966175, 68.686187",exact,https://www.gem.wiki/Afghan_Cement_Ghori_I_Cement_Plant,Pol-e Khomri,Baghlan,Afghanistan,0.15,0.15,opc,grey,operating,1959,Afghan Cement LLC [100.0%],(Pashto) افغان سیمنټ [100%],E100002005112 [100.0%],Afghan Cement LLC [100.0%],E100002005112 [100.0%],integrated,wet,no,no,no,0,Southern Asia,35.966175,68.686187,POINT (68.686187 35.966175),,,,,,0,,,,,
1,P100000123428,Afghan Cement Ghori II Cement Plant,(Pashto)د افغان سمنټو غوري II سمنټو فابریکه,,GACTAFG0001,,"35.968449, 68.685855",exact,https://www.gem.wiki/Afghan_Cement_Ghori_II_Cement_Plant,Pol-e Khomri,Baghlan,Afghanistan,0.15,0.365,,,operating,2009,Afghan Cement LLC [100.0%],(Pashto) افغان سیمنټ [100%],E100002005112 [100.0%],Afghan Cement LLC [100.0%],E100002005112 [100.0%],integrated,wet,no,no,no,0,Southern Asia,35.968449,68.685855,POINT (68.685855 35.968449),,,,,,0,,,,,
2,P100000123429,Herat Injil Cement Plant,  (Pashto)د هرات انجیل سمنټو فابریکه,,GACTAFG0002,,"34.322144, 61.953503",exact,https://www.gem.wiki/Herat_Injil_Cement_Plant,Injil,Herat,Afghanistan,1.5,0.26,,,construction,,Herat Cement [100.0%],(Pashto) د هرات سمنټو [100%],E100002006748 [100.0%],Herat Cement [100.0%],E100002006748 [100.0%],integrated,wet,no,no,no,0,Southern Asia,34.322144,61.953503,POINT (61.953503 34.322144),,,,,,0,,,,,
3,P100000123430,Jabal Saraj Cement Plant,(Pashto)د جبل السراج سمنټو فابریکه,,,,"35.127739, 69.239286",exact,https://www.gem.wiki/Jabal_Saraj_Cement_Plant,Jabal Saraj,Parwan province,Afghanistan,0.3,0.365,,,operating,1958,Jabal Saraj Cement [100.0%],(Pashto) جبل السراج سیمنټ [100%],E100002006859 [100.0%],Jabal Saraj Cement [100.0%],E100002006859 [100.0%],integrated,wet,no,no,no,0,Southern Asia,35.127739,69.239286,POINT (69.239286 35.127739),,,,,,0,,,,,
4,P100000123431,Samangan Aybak Cement Plant,(Pashto)د سمنګان ایبک سمنټو فابریکه,,,,"36.315697, 67.975715",approximate,https://www.gem.wiki/Samangan_Aybak_Cement_Plant,Aybak City,Samangan,Afghanistan,0.058,,,,operating,,Samangan Cement [100.0%],(Pashto) سمنګان سمنټو [100%],E100002006881 [100.0%],Samangan Cement [100.0%],E100002006881 [100.0%],integrated,,no,no,no,0,Southern Asia,36.315697,67.975715,POINT (67.975715 36.315697),,,,,,0,,,,,
5,P100000125193,Afghan Cement Ghori III Cement Plant,(Pashto)د افغان سمنټو غوري III سمنټو فابریکه,,,,"35.968449, 68.685855",approximate,https://www.gem.wiki/Afghan_Cement_Ghori_III_Cement_Plant,Pol-e Khomri,Baghlan,Afghanistan,2,1.46,,,cancelled,,Afghan Cement LLC [100%],(Pashto) افغان سیمنټ [100%],E100002005112 [100.0%],Afghan Cement LLC [100%],E100002005112 [100.0%],integrated,dry,no,no,no,0,Southern Asia,35.968449,68.685855,POINT (68.685855 35.968449),,,,,,0,,,,,
6,P100000125831,Yateem Taq Cement Plant,,,,,"36.933767, 65.926856",approximate,https://www.gem.wiki/Yateem_Taq_Cement_Plant,,Jowzjan province,Afghanistan,1.1,,,,announced,,Ministry of Mines and Petroleum (Afghanistan) [unknown%],,E100001014061 [unknown%],Ministry of Mines and Petroleum (Afghanistan) [unknown%],E100001014061 [unknown%],,,,,,0,Southern Asia,36.933767,65.926856,POINT (65.926856 36.933767),,,,,,0,,,,,
7,P100000126179,Logar Cement Plant,,,,,"34.038956, 69.130296",approximate,https://www.gem.wiki/Logar_Cement_Plant,,Logar province,Afghanistan,0.91,,,,announced,,Afghan Sak [unknown%],,E100002015369 [unknown%],Afghan Sak [unknown%],E100002015369 [unknown%],,,,,,0,Southern Asia,34.038956,69.130296,POINT (69.130296 34.038956),,,,,,0,,,,,
8,P100000127200,Shur Andam Cement Plant,(Pashto)د شور اندام سمنټو فابریکه,,,,"31.555655, 65.814539",approximate,https://www.gem.wiki/Shur_Andam_Cement_Plant,Shorandam,Kandahar,Afghanistan,1.5,,,,announced,,Shurandam Cement [100.0%], (Pashto) شورانډم سیمنټ [100%],E100002015780 [100.0%],Shurandam Cement [100.0%],E100002015780 [100.0%],,,no,no,no,0,Southern Asia,31.555655,65.814539,POINT (65.814539 31.555655),,,,,,0,,,,,
9,P100000125239,Balldre Cement Plant,Stabilimenti Balldre (Albanian),,GACTALB0001,,"41.836818, 19.632962",exact,https://www.gem.wiki/Balldre_Cement_Plant,Balldre,Lezha,Albania,0.32,,blended,grey,operating,2009,Colacem SpA [100.0%],,E100002006121 [100.0%],Financo SRL [unknown%],E100002006286 [unknown%],grinding,,,,,0,Southern Europe,41.836818,19.632962,POINT (19.632962 41.836818),,,,,,0,,,,,
