"iso","entity_type","climactor_id","baseline_value","baseline_year","inv_year","total_emissions","target_year","target_value","target_record","GDAM_id"
"BEL","City","0033fb16f68dfeeb",2629824,2005,NA,NA,2030,50,"0033fb16f68dfeeb_2030","BEL.2.1.1.2_1"
"BEL","City","0033fb16f68dfeeb",2629824,2005,NA,NA,2050,100,"0033fb16f68dfeeb_2050","BEL.2.1.1.2_1"
"JPN","SubRegion","004a0d7cb5606eef",1350000,2019,NA,NA,2030,10,"004a0d7cb5606eef_2030","JPN.7.1159"
"BEL","City","00732a73f4f159b3",43491.3,2011,2011,43491.3,2030,40,"00732a73f4f159b3_2030","BEL.2.2.1.5_1"
"BEL","City","00732a73f4f159b3",43491.3,2011,2014,25487.3,2030,40,"00732a73f4f159b3_2030","BEL.2.2.1.5_1"
"ESP","City","00752000db04c515",11423,2005,2005,10036.9,2030,40,"00752000db04c515_2030","ESP.09.08.08222"
"ESP","City","00752000db04c515",11423,2005,2014,8726.4,2030,40,"00752000db04c515_2030","ESP.09.08.08222"
"ITA","City","0083ef4ed71b869e",7739.785,2011,2011,7739.8,2030,40,"0083ef4ed71b869e_2030","ITA.19.86.003"
"BEL","City","00887dae5af7b824",48759.2,2011,2011,48759.2,2030,40,"00887dae5af7b824_2030","BEL.2.1.3.22_1"
"BEL","City","00887dae5af7b824",48759.2,2011,2018,44761.5,2030,40,"00887dae5af7b824_2030","BEL.2.1.3.22_1"
"BEL","City","00887dae5af7b824",48759.2,2011,2020,45265.4,2030,40,"00887dae5af7b824_2030","BEL.2.1.3.22_1"
"PRT","SubRegion","009e873fc6c97fdc",192.1,2011,2011,192.1,2030,45,"009e873fc6c97fdc_2030","PRT.10.3_1"
"PRT","SubRegion","009e873fc6c97fdc",192.1,2011,2011,192.1,2050,80,"009e873fc6c97fdc_2050","PRT.10.3_1"
"ITA","City","00b3f9e9c6778784",8965.4,2011,2011,8965.4,2030,40,"00b3f9e9c6778784_2030","ITA.19.84.007"
"ITA","City","00b3f9e9c6778784",8965.4,2011,2011,11575,2030,40,"00b3f9e9c6778784_2030","ITA.19.84.007"
"AUS","SubRegion","00bdd5b474c6b31c",13170,2021,NA,NA,2030,30,"00bdd5b474c6b31c_2030","AUS.9.2_1"
"AUS","SubRegion","00bdd5b474c6b31c",13170,2021,NA,NA,2040,100,"00bdd5b474c6b31c_2040","AUS.9.2_1"
"ITA","City","00db591fd214bead",7876.169,2011,2011,7876.2,2030,40,"00db591fd214bead_2030","ITA.19.83.088"
"USA","City","00df5902d610537f",1611012,2005,NA,NA,2035,49,"00df5902d610537f_2035","USA.5.19.1600000US0680000"
"FRA","City","0104afec5d7f2c23",52466197,1990,NA,NA,2030,40,"0104afec5d7f2c23_2030","FRA.27.021.1.21231"
"FRA","City","0104afec5d7f2c23",52466197,1990,NA,NA,2050,80,"0104afec5d7f2c23_2050","FRA.27.021.1.21231"
"CZE","Region","0123ba1424b3902b",8800000,2010,2010,8800000,2030,45,"0123ba1424b3902b_2030","CZE.10"
"CZE","Region","0123ba1424b3902b",8800000,2010,2010,8800000,2050,100,"0123ba1424b3902b_2050","CZE.10"
"ESP","City","0151290a5c763d9c",652.7,2010,2010,652.7,2030,40,"0151290a5c763d9c_2030","ESP.10.46.46075"
"ESP","City","0151290a5c763d9c",652.7,2010,2015,661.4,2030,40,"0151290a5c763d9c_2030","ESP.10.46.46075"
"ESP","City","0151290a5c763d9c",652.7,2010,2010,652.7,2049,50,"0151290a5c763d9c_2049","ESP.10.46.46075"
"ESP","City","0151290a5c763d9c",652.7,2010,2015,661.4,2049,50,"0151290a5c763d9c_2049","ESP.10.46.46075"
"BEL","City","0159b1847a5a1cab",1019927.1,2005,2005,1019927.1,2030,55,"0159b1847a5a1cab_2030","BEL.3.3.2.16_1"
"BEL","City","0159b1847a5a1cab",1019927.1,2005,2017,874445.3,2030,55,"0159b1847a5a1cab_2030","BEL.3.3.2.16_1"
"BEL","City","0159b1847a5a1cab",1019927.1,2005,2018,811511.9,2030,55,"0159b1847a5a1cab_2030","BEL.3.3.2.16_1"
"BEL","City","0159b1847a5a1cab",1019927.1,2005,2005,1019927.1,2050,100,"0159b1847a5a1cab_2050","BEL.3.3.2.16_1"
"BEL","City","0159b1847a5a1cab",1019927.1,2005,2017,874445.3,2050,100,"0159b1847a5a1cab_2050","BEL.3.3.2.16_1"
"BEL","City","0159b1847a5a1cab",1019927.1,2005,2018,811511.9,2050,100,"0159b1847a5a1cab_2050","BEL.3.3.2.16_1"
"JPN","SubRegion","0170b52602a9dc26",3537000,2013,NA,NA,2025,30,"0170b52602a9dc26_2025","JPN.10.835"
"JPN","SubRegion","0187ddb7056a92af",2241516,2007,2007,2241516,2030,43,"0187ddb7056a92af_2030","JPN.3.1708"
"JPN","SubRegion","0187ddb7056a92af",2241516,2007,2007,2241516,2050,80,"0187ddb7056a92af_2050","JPN.3.1708"
"JPN","SubRegion","019071125bd68611",2849000,2013,NA,NA,2030,26,"019071125bd68611_2030","JPN.4.975"
"ESP","City","019cffe880a889b6",3546,2010,2010,3546,2030,40,"019cffe880a889b6_2030","ESP.10.46.46160"
"ESP","City","01c3e0c36b2a670e",37911.1,2021,2021,37911.1,2030,40,"01c3e0c36b2a670e_2030","ESP.12.15.15062"
"GRC","City","01e1fb47426af0c0",33785.7,2010,2010,33785.7,2030,42,"01e1fb47426af0c0_2030","GRC.6.2.65.01"
"ESP","City","01e99c7c5ee628bd",104140.4,2010,2010,104140.4,2030,40.6,"01e99c7c5ee628bd_2030","ESP.12.36.36042"
"ESP","City","01e99c7c5ee628bd",104140.4,2010,2022,104140.4,2030,40.6,"01e99c7c5ee628bd_2030","ESP.12.36.36042"
"IDN","SubRegion","020304cca93c5573",208.96,2023,NA,NA,2026,15.15,"020304cca93c5573_2026","IDN.26.453"
"ITA","City","0204fdf53885ed97",2583.5,2010,2010,2583.5,2030,40,"0204fdf53885ed97_2030","ITA.5.24.089"
"ITA","City","02331a6a8e59ea66",3553.2,2011,2011,3553.2,2030,35,"02331a6a8e59ea66_2030","ITA.19.83.046"
"HRV","SubRegion","024efbb16ae21c9a",64594.9,2010,2010,64594.9,2030,40,"024efbb16ae21c9a_2030","HRV.5.29_1"
"HRV","SubRegion","024efbb16ae21c9a",64594.9,2010,2017,49992.2,2030,40,"024efbb16ae21c9a_2030","HRV.5.29_1"
"USA","City","026671f713ae1081",61893,2019,2019,63187.22,2030,62.7,"026671f713ae1081_2030","USA.33.61.1600000US3632710"
"USA","City","026671f713ae1081",61893,2019,2019,61893,2030,62.7,"026671f713ae1081_2030","USA.33.61.1600000US3632710"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1970,43017559.4713028,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1971,43591689.8202861,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1972,47467615.125736,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1973,51067649.2187891,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1974,50480507.4286171,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1975,51801656.368972,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1976,55134964.1785742,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1977,58314615.262378,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
