system:index,GEM location ID,GEM unit/phase ID,GID_1,GID_2,Latitude,Location accuracy,Longitude,Owner GEM Entity ID,Parent GEM Entity ID,Region,"Subnational unit (province, state)",Subregion,Unit name,matched_adm,.geo,GID_3,GID_4,GID_5,Country/Area,Wiki URL,Plant name,Unit name_coal,Plant name (other),Plant name (local),Owner,Parent,Capacity (MW),Status,Start year,Retired year,Planned retirement,Coal phaseout year,Net zero year,Combustion technology,Coal type,Coal source,Conversion to (fuel),Conversion to (GEM unit ID),Alternate Fuel,Location,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)_coal",Subregion_coal,Region_coal,Latitude_coal,Longitude_coal,Location accuracy_coal,Permits,Permit Date,Permit Parsed,Captive,Captive industry use,Captive residential use,CHP,Capacity factor,Plant age (years),Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Annual CO2 (million tonnes / annum),Remaining plant lifetime (years),Lifetime CO2 (million tonnes),China capacity payment recipient
000000000000000008de,L100000101828,G100000108698,EGY.2_1,EGY.2.7_1,26.733333,approximate,33.933333,E100000000354 [100%],E100000000354 [100.0%],Africa,Al Bahr al Ahmar,Northern Africa,Unit 1,,"{""type"":""Point"",""coordinates"":[33.933333000000005,26.733333000000002]}",,,,Egypt,https://www.gem.wiki/Safaga_power_station,Safaga power station,Unit 1,,,Egyptian Electricity Holding Co [100%],Egyptian Electricity Holding Co [100.0%],1000,cancelled,,,,2021,,unknown,unknown,,,,,Safaga,,,Al Bahr al Ahmar,Northern Africa,Africa,26.733333,33.933333,approximate,,,,,,,,0,0,8605,96100,0,0,0,
000000000000000008db,L100000101829,G100000100408,EGY.15_1,EGY.15.2_1,29.96666718,approximate,32.54999924,E100000120041 [100%],E100000120041 [100.0%],Africa,As Suways,Northern Africa,Unit 1,,"{""type"":""Point"",""coordinates"":[32.54999923706055,29.966667175292972]}",,,,Egypt,https://www.gem.wiki/Ayoun_Moussa_power_station,Ayoun Moussa power station,Unit 1,Oyoun Mousa power station,,Al Nowais Investments LLC [100%],Al Nowais Investments LLC [100.0%],660,cancelled,,,,2021,,unknown,unknown,imported,,,,Ayoun Moussa,,,As Suways,Northern Africa,Africa,29.966667,32.55,approximate,,,,,,,,0,0,8605,96100,0,0,0,
000000000000000008dd,L100000101830,G100000106692,EGY.24_1,EGY.24.5_1,31.35000038,approximate,27.233333,E100000121374 [100%],E100000121374 [100.0%],Africa,Matrouh Governorate,Northern Africa,Unit 1,,"{""type"":""Point"",""coordinates"":[27.233333,31.35000038146972]}",,,,Egypt,https://www.gem.wiki/Marsa_Matruh_power_station,Marsa Matruh power station,Unit 1,Mersa Matrouh Power Station,,to be determined [100%],to be determined [100.0%],1000,cancelled,,,,2021,,ultra-supercritical,unknown,imported,,,,Marsa Matruh,,,Matrouh Governorate,Northern Africa,Africa,31.35,27.233333,approximate,,,,,,,,0,0,8272,96100,0,0,0,
000000000000000008dc,L100000101831,G100000113124,EGY.2_1,EGY.2.3_1,26.25,approximate,34.20000076,E100000000354 [100%],E100000000354 [100.0%],Africa,Red Sea Governate,Northern Africa,Unit 1,,"{""type"":""Point"",""coordinates"":[34.20000076293946,26.250000000000004]}",,,,Egypt,https://www.gem.wiki/Hamarawein_IPP_coal_project,Hamarawein IPP coal project,Unit 1,"Hamrawein, محطة فحم حمراوين",,Egyptian Electricity Holding Co [100%],Egyptian Electricity Holding Co [100.0%],1100,cancelled,,,,2021,,ultra-supercritical,unknown,imported,,,,Hamarawein port,,,Red Sea Governate,Northern Africa,Africa,26.25,34.2,approximate,,,,,,,,0,0,8272,96100,0,0,0,
00000000000000000ff4,L100000103523,G100000100341,SDN.11_1,SDN.11.2_1,19.583333,approximate,35.616667,E100000120913 [100%],E100000120913 [100.0%],Africa,Red Sea State,Northern Africa,Unit 1,,"{""type"":""Point"",""coordinates"":[35.616667,19.583332999999996]}",SDN.11.2.1_1,,,Sudan,https://www.gem.wiki/Arkyiai_power_station,Arkyiai power station,Unit 1,Port Sudan Power Station Project,,National Electricity Corp [100%],National Electricity Corp [100.0%],300,cancelled,,,,,,subcritical,unknown,,,,,Arkyiai,,,Red Sea State,Northern Africa,Africa,19.583333,35.616667,approximate,,,,,,,,0,0,9572.2,96100,0,0,0,
00000000000000000df1,L100000104370,G100000113795,MAR.02,MAR.02.13,35.166667,approximate,-2.93333292,E100000000724 [100%],E100000000724 [100.0%],Africa,Nador,Northern Africa,Unit 1,,"{""type"":""Point"",""coordinates"":[-2.9333329200744633,35.166667]}",,,,Morocco,https://www.gem.wiki/Nador_power_station,Nador power station,Unit 1,,,Office National de l'Electricité et de l'Eau Potable (Morocco) [100%],Office National de l'Electricité et de l'Eau Potable (Morocco) [100.0%],660,cancelled,,,,2040,,unknown,unknown,,,,,Nador,,,Nador,Northern Africa,Africa,35.166667,-2.933333,approximate,,,,,,,,0,0,8605,96100,0,0,0,
00000000000000000df2,L100000103053,G100000108700,MAR.07,MAR.07.10,32.149115,exact,-9.282294273,E100000121231 [100%],E100000120910 [50.7%]; E100000000651 [30.0%]; E100000000382 [19.3%],Africa,Souss-Massa,Northern Africa,Unit 1,,"{""type"":""Point"",""coordinates"":[-9.282294273376465,32.149115]}",,,,Morocco,https://www.gem.wiki/Safi_power_station,Safi power station,Unit 1,,Usina de biomassa Safi,Safi Energy Company SA [100%],Nareva Holding SA [50.7%]; Mitsui & Co Ltd [30.0%]; ENGIE SA [19.3%],693,operating,2018,,,2040,,ultra-supercritical,unknown,Imported,,,,Cap Ghir Safi,,,Souss-Massa,Northern Africa,Africa,32.149115,-9.282294,exact,,,,,,,,0.55,7,8272,96100,2.800455619,28,78.41275733,
00000000000000000dee,L100000103054,G100000105349,MAR.06,MAR.06.74,33.1047305,exact,-8.6376352,E100000121372 [100%],E100000121372 [100.0%],Africa,Doukkala-Abda,Northern Africa,Unit 1,,"{""type"":""Point"",""coordinates"":[-8.6376352,33.1047305]}",,,,Morocco,https://www.gem.wiki/Jorf_Lasfar_power_station,Jorf Lasfar power station,Unit 1,JLEC power station,,TAQA Morocco SA [100%],TAQA Morocco SA [100.0%],330,operating,1994,,,2040,,subcritical,bituminous,,,,,El Jorf Lasfar,,El Jadida,Doukkala-Abda,Northern Africa,Africa,33.1047305,-8.6376352,exact,,,,,,,,0.55,31,11747.7,94600,1.864315757,4,7.457263027,
00000000000000000def,L100000103054,G100000105353,MAR.06,MAR.06.74,33.10480118,exact,-8.636699677,E100000121372 [100%],E100000121372 [100.0%],Africa,Doukkala-Abda,Northern Africa,Unit 5,,"{""type"":""Point"",""coordinates"":[-8.636699676513672,33.104801177978516]}",,,,Morocco,https://www.gem.wiki/Jorf_Lasfar_power_station,Jorf Lasfar power station,Unit 5,JLEC power station,,TAQA Morocco SA [100%],TAQA Morocco SA [100.0%],350,operating,2014,,,2040,,subcritical,bituminous,,,,,El Jorf Lasfar,,El Jadida,Doukkala-Abda,Northern Africa,Africa,33.1048,-8.6367,exact,,,,,,,,0.55,11,10442.4,94600,1.75760408,24,42.18249793,
00000000000000000df0,L100000103056,G100000106974,MAR.06,MAR.06.43,33.68185425,exact,-7.434761047,E100000000724 [100%],E100000000724 [100.0%],Africa,Grand Casablanca,Northern Africa,Unit 3,,"{""type"":""Point"",""coordinates"":[-7.434761047363281,33.681854248046875]}",,,,Morocco,https://www.gem.wiki/Mohammedia_power_station,Mohammedia power station,Unit 3,,,Office National de l'Electricité et de l'Eau Potable (Morocco) [100%],Office National de l'Electricité et de l'Eau Potable (Morocco) [100.0%],150,operating,1986,,,2040,,subcritical,bituminous,,,,,Mohammedia,,Mohammedia,Grand Casablanca,Northern Africa,Africa,33.681854,-7.434761,exact,,,,,,,,0.55,39,12617.9,94600,0.910187827,5,4.550939137,
