,GEM plant ID,Plant name (English),Owner,Owner GEM entity ID,Parent (English),Parent GEM entity ID,Location address,Municipality,Subnational unit,Country/area,Region,Coordinates,Coordinate accuracy,Plant age,Status,Nominal crude steel capacity (ttpa),Nominal iron capacity (ttpa),Announced date,Construction date,Start date,Pre-retirement announcement date,Idled date,Retired date,Retired year,latitude,longitude,geometry,GID_1,within_target_boundaries,which_boundary,GID_2,GID_3,GID_4,GID_5
0,P100000120001,Emsteel Abu Dhabi steel plant,Emsteel Building Materials PJSC,E100001016181,Emsteel Building Materials PJSC [100.0%],E100001016181 [100.0%],"Plot #10E6 7th St, Abu Dhabi Industrial City ICAD, Abu Dhabi, United Arab Emirates",Abu Dhabi Industrial City,Abu Dhabi,United Arab Emirates,,"24.3220330, 54.4679870",exact,23,operating,3500.0,4200.0,1998,2001,2003,,,,,24.322033,54.467987,POINT (54.467987 24.322033),,1,ARE.1.1_1,ARE.1.1_1,,,
1,P100000120002,BILDCO Abu Dhabi steel plant,Abu Dhabi National for Building Materials Co PJSC,E100000130760,Abu Dhabi National for Building Materials Co PJSC [100.0%],E100000130760 [100.0%],"Musaffah, Musaffah Industrial, Abu Dhabi, United Arab Emirates",Musaffah Industrial Zone,Abu Dhabi,United Arab Emirates,,"24.3787200, 54.4751530",exact,,operating,1000.0,,2017,,,,,,,24.37872,54.475153,POINT (54.475153 24.37872),,1,ARE.1.1_1,ARE.1.1_1,,,
2,P100000120004,Kurum International Elbasan steel plant,Kurum International ShA,E100000130992,Kurum International ShA [100.0%],E100000130992 [100.0%],"Ish Kombinati metalurgjik, Elbasan, Albania",Bradashesh,Elbasan,Albania,Southern Europe,"41.0946110, 20.0261170",exact,28,announced,1000.0,,,,1998,,,,,41.094611,20.026117,POINT (20.026117 41.094611),,0,,,,,
3,P100000120004,Kurum International Elbasan steel plant,Kurum International ShA,E100000130992,Kurum International ShA [100.0%],E100000130992 [100.0%],"Ish Kombinati metalurgjik, Elbasan, Albania",Bradashesh,Elbasan,Albania,Southern Europe,"41.0946110, 20.0261170",exact,28,mothballed,700.0,,,,1998,,,,,41.094611,20.026117,POINT (20.026117 41.094611),,0,,,,,
4,P100000120005,Aceria Angola Bengo steel plant,Ada - Aceria De Angola SA,E100000131097,Sa Machado Lda,E100002003632,"Barra de Dande, Bengo, Angoloa",Barra de Dande,Bengo,Angola,Sub-Saharan Africa,"-8.5824000, 13.4052710",exact,11,operating,500.0,,,2013,2015,,,,,-8.5824,13.405271,POINT (13.405271 -8.5824),,0,,,,,
5,P100000120006,ArcelorMittal Acindar Villa Constitución steel plant,Acindar Industria Argentina de Aceros SA,E100001010109,ArcelorMittal SA [100.0%],E100000000687 [100.0%],"Ruta Provincial 21 N° 4855, Villa Constitución, Santa Fe, Argentina",Villa Constitución,Santa Fe,Argentina,Latin America and the Caribbean,"-33.2499360, -60.3004150",exact,80,operating,2000.0,600.0,,,1946,,,,,-33.249936,-60.300415,POINT (-60.300415 -33.249936),,0,,,,,
6,P100000120007,TenarisSiderca Campana steel plant,Siderca SAIC,E100000001765,Tenaris SA [100.0%],E100000000692 [100.0%],"Dr Jorge Simini 250 B2804MHA, Campana, Argentina",Campana,Buenos Aires,Argentina,Latin America and the Caribbean,"-34.1525540, -58.9773880",exact,65.57,operating,1720.0,960.0,,,1960-07-25 00:00:00,,,,,-34.152554,-58.977388,POINT (-58.977388 -34.152554),,0,,,,,
7,P100000120007,TenarisSiderca Campana steel plant,Siderca SAIC,E100000001765,Tenaris SA [100.0%],E100000000692 [100.0%],"Dr Jorge Simini 250 B2804MHA, Campana, Argentina",Campana,Buenos Aires,Argentina,Latin America and the Caribbean,"-34.1525540, -58.9773880",exact,65.57,retired,530.0,,,,1960-07-25 00:00:00,,,,,-34.152554,-58.977388,POINT (-58.977388 -34.152554),,0,,,,,
8,P100000120008,Ternium Siderar San Nicolás steel plant,Ternium Argentina SA,E100000130688,Ternium Argentina SA [100.0%],E100000130688 [100.0%],"Av. Savio s/n, 2900 San Nicolás de los Arroyos, Buenos Aires, Argentina",San Nicolás de los Arroyos,Buenos Aires,Argentina,Latin America and the Caribbean,"-33.3736500, -60.1386970",exact,66,operating,3501.0,4015.0,,,1960,,,,,-33.37365,-60.138697,POINT (-60.138697 -33.37365),,0,,,,,
9,P100000120009,Gerdau Sipar Pérez steel plant,Sipar Aceros SA,E100001010274,Gerdau SA [98.1%],E100001010270 [98.1%],"Av. San Martin 475, 2121 Pérez, Santa Fe, Argentina",Pérez,Santa Fe,Argentina,Latin America and the Caribbean,"-32.9912336, -60.7588733",exact,9,operating,650.0,,,,2017,,,,,-32.9912336,-60.7588733,POINT (-60.7588733 -32.9912336),,0,,,,,
10,P100000120010,Voestalpine Stahl Linz steel plant,Voestalpine Stahl GmbH,E100000130978,Voestalpine AG [100.0%],E100000000031 [100.0%],"voestalpine-Straße 3, 4020 Linz, Austria",Linz,Upper Austria,Austria,Western Europe,"48.2740230, 14.3343400",exact,86,construction,1600.0,26.0,,,1940,,,,,48.274023,14.33434,POINT (14.33434 48.274023),,0,,,,,
11,P100000120010,Voestalpine Stahl Linz steel plant,Voestalpine Stahl GmbH,E100000130978,Voestalpine AG [100.0%],E100000000031 [100.0%],"voestalpine-Straße 3, 4020 Linz, Austria",Linz,Upper Austria,Austria,Western Europe,"48.2740230, 14.3343400",exact,86,operating,4000.0,3300.0,,,1940,,,,,48.274023,14.33434,POINT (14.33434 48.274023),,0,,,,,
12,P100000120010,Voestalpine Stahl Linz steel plant,Voestalpine Stahl GmbH,E100000130978,Voestalpine AG [100.0%],E100000000031 [100.0%],"voestalpine-Straße 3, 4020 Linz, Austria",Linz,Upper Austria,Austria,Western Europe,"48.2740230, 14.3343400",exact,86,operating pre-retirement,2000.0,1700.0,,,1940,,,,,48.274023,14.33434,POINT (14.33434 48.274023),,0,,,,,
13,P100000120011,Voestalpine Stahl Donawitz steel plant,Voestalpine Stahl Donawitz GmbH,E100000130917,Voestalpine AG [100.0%],E100000000031 [100.0%],"Kerpelystraße 199, 8700 Leoben, Austria",Leoben,Styria,Austria,Western Europe,"47.3804550, 15.0651820",exact,148,construction,1700.0,,,,1878,,,,,47.380455,15.065182,POINT (15.065182 47.380455),,0,,,,,
14,P100000120011,Voestalpine Stahl Donawitz steel plant,Voestalpine Stahl Donawitz GmbH,E100000130917,Voestalpine AG [100.0%],E100000000031 [100.0%],"Kerpelystraße 199, 8700 Leoben, Austria",Leoben,Styria,Austria,Western Europe,"47.3804550, 15.0651820",exact,148,operating,720.0,826.0,,,1878,,,,,47.380455,15.065182,POINT (15.065182 47.380455),,0,,,,,
15,P100000120011,Voestalpine Stahl Donawitz steel plant,Voestalpine Stahl Donawitz GmbH,E100000130917,Voestalpine AG [100.0%],E100000000031 [100.0%],"Kerpelystraße 199, 8700 Leoben, Austria",Leoben,Styria,Austria,Western Europe,"47.3804550, 15.0651820",exact,148,operating pre-retirement,850.0,825.0,,,1878,,,,,47.380455,15.065182,POINT (15.065182 47.380455),,0,,,,,
16,P100000120012,BlueScope Port Kembla steel plant,BlueScope Steel Ltd,E100000130689,BlueScope Steel Ltd [100.0%],E100000130689 [100.0%],"Five Islands Road, Port Kembla, NSW, 2505 Australia",Port Kembla,New South Wales,Australia,Australia and New Zealand,"-34.4638340, 150.8861910",exact,98,mothballed,,3000.0,,1926,1928,,,,,-34.463834,150.886191,POINT (150.886191 -34.463834),AUS.5_1,1,AUS.5.149_1,AUS.5.149_1,,,
